Date,Content type,Views,Subscribers gained
2016-06-02,Other,2,0
2016-06-03,Other,4,1
2016-06-04,Other,4,0
2016-06-05,Other,2,0
2016-06-06,Other,3,0
2016-06-07,Other,1,0
2016-06-08,Other,3,0
2016-06-09,Other,1,0
2016-06-10,Other,3,0
2016-06-11,Other,4,0
2016-06-12,Other,3,0
2016-06-13,Other,26,0
2016-06-14,Other,20,0
2016-06-15,Other,7,3
2016-06-16,Other,33,29
2016-06-17,Other,321,8
2016-06-18,Other,81,10
2016-06-19,Other,47,1
2016-06-20,Other,26,0
2016-06-21,Other,35,0
2016-06-22,Other,17,0
2016-06-23,Other,9,0
2016-06-24,Other,17,0
2016-06-25,Other,12,0
2016-06-26,Other,7,4
2016-06-27,Other,20,0
2016-06-28,Other,15,0
2016-06-29,Other,10,0
2016-06-30,Other,15,0
2016-07-01,Other,10,0
2016-07-02,Other,8,0
2016-07-03,Other,10,0
2016-07-04,Other,20,0
2016-07-05,Other,16,0
2016-07-06,Other,15,0
2016-07-07,Other,16,0
2016-07-08,Other,4,0
2016-07-09,Other,14,1
2016-07-10,Other,19,0
2016-07-11,Other,29,0
2016-07-12,Other,32,0
2016-07-13,Other,16,0
2016-07-14,Other,26,1
2016-07-15,Other,46,0
2016-07-16,Other,15,0
2016-07-17,Other,15,0
2016-07-18,Other,18,0
2016-07-19,Other,9,0
2016-07-20,Other,8,0
2016-07-21,Other,14,0
2016-07-22,Other,15,0
2016-07-23,Other,16,0
2016-07-24,Other,19,1
2016-07-25,Other,11,0
2016-07-26,Other,11,0
2016-07-27,Other,19,0
2016-07-28,Other,22,1
2016-07-29,Other,10,1
2016-07-30,Other,12,0
2016-07-31,Other,16,0
2016-08-01,Other,10,0
2016-08-02,Other,27,0
2016-08-03,Other,6,0
2016-08-04,Other,8,0
2016-08-05,Other,12,1
2016-08-06,Other,16,0
2016-08-07,Other,11,0
2016-08-08,Other,11,0
2016-08-09,Other,11,0
2016-08-10,Other,12,0
2016-08-11,Other,24,0
2016-08-12,Other,7,0
2016-08-13,Other,18,0
2016-08-14,Other,18,0
2016-08-15,Other,19,0
2016-08-16,Other,21,0
2016-08-17,Other,8,0
2016-08-18,Other,8,0
2016-08-19,Other,58,1
2016-08-20,Other,83,0
2016-08-21,Other,77,13
2016-08-22,Other,27,3
2016-08-23,Other,23,1
2016-08-24,Other,11,0
2016-08-25,Other,12,0
2016-08-26,Other,29,12
2016-08-27,Other,8,0
2016-08-28,Other,15,0
2016-08-29,Other,38,0
2016-08-30,Other,22,0
2016-08-31,Other,16,0
2016-09-01,Other,18,0
2016-09-02,Other,17,1
2016-09-03,Other,21,0
2016-09-04,Other,13,0
2016-09-05,Other,14,0
2016-09-06,Other,9,0
2016-09-07,Other,8,0
2016-09-08,Other,23,0
2016-09-09,Other,9,1
2016-09-10,Other,35,1
2016-09-11,Other,26,0
2016-09-12,Other,12,0
2016-09-13,Other,12,0
2016-09-14,Other,9,0
2016-09-15,Other,16,0
2016-09-16,Other,18,0
2016-09-17,Other,17,1
2016-09-18,Other,22,0
2016-09-19,Other,14,0
2016-09-20,Other,15,0
2016-09-21,Other,23,0
2016-09-22,Other,31,0
2016-09-23,Other,12,0
2016-09-24,Other,24,0
2016-09-25,Other,25,1
2016-09-26,Other,15,0
2016-09-27,Other,21,0
2016-09-28,Other,10,0
2016-09-29,Other,14,0
2016-09-30,Other,16,0
2016-10-01,Other,22,0
2016-10-02,Other,34,10
2016-10-03,Other,21,0
2016-10-04,Other,20,0
2016-10-05,Other,10,0
2016-10-06,Other,13,0
2016-10-07,Other,20,1
2016-10-08,Other,14,0
